SentenceID,Transcript,Device
speaker14_m_n_utt13,"Tapi menurute, korban durung gelem nggawe laporan resmi.",
speaker14_m_n_utt14,"Sampek saiki, pihake mastikno gak ono laporan resmi seng dilayangno atas kasus iki nang kepolisian.",
speaker14_m_n_utt15,Dadi dipastikno kasus iki selesai secara damai liwat mediasi.,
speaker14_m_n_utt16,"Lho, jarene wingi ora sido? (Lho, katanya kemarin tidak jadi?)",
speaker14_m_n_utt17,"Aku lagi lara untu, nyut-nyutan. (Aku lagi sakit gigi, berdenyut-denyut.)",
speaker14_m_n_utt18,Kowe wis ngombe obat durung? (Kamu sudah minum obat belum?),
speaker14_m_n_utt19,Sekolahmu isih adoh saka kene ta? (Sekolahmu masih jauh dari sini?),
speaker14_m_n_utt20,"Susuke digowo, ojo lali. (Uang kembaliannya dibawa, jangan lupa.)",
speaker14_m_n_utt21,"Listrike mati, peteng kabeh. (Listriknya mati, gelap semua.)",
speaker14_m_n_utt22,Aku arep nyirami kembang sik. (Aku mau menyiram bunga dulu.),
speaker14_m_n_utt23,"PR-e angel tenan, aku durung rampung. (PR-nya susah sekali, aku belum selesai.)",
speaker14_m_n_utt24,Kowe mrene mau numpak opo? (Kamu ke sini tadi naik apa?),
speaker14_m_n_utt25,"Ojo gampang nesu, ngko malah cepet tuek. (Jangan gampang marah, nanti cepat tua.)",
speaker14_m_n_utt26,"Segane wis mateng durung, Bu? (Nasinya sudah matang belum, Bu?)",
speaker14_m_n_utt27,"Jupukno sapu, arep nyapu latar. (Ambilkan sapu, mau menyapu halaman.)",
speaker14_m_n_utt28,Kapan kene iso ketemu? (Kapan kamu punya waktu luang?),
speaker14_m_n_utt29,"Dompetku keri, aku ngutang sik yo. (Dompetku ketinggalan, aku hutang dulu ya.)",
speaker14_m_n_utt30,"Kon ganti model rambut, yo? (Kamu ganti model rambut, ya?)",
speaker15_m_[n|nn]_utt01,,
speaker15_m_[n|nn]_utt02,,
speaker15_m_[n|nn]_utt03,,
speaker15_m_[n|nn]_utt04,,
speaker15_m_[n|nn]_utt05,,
speaker15_m_[n|nn]_utt06,,
speaker15_m_[n|nn]_utt07,,
speaker15_m_[n|nn]_utt08,,
speaker15_m_[n|nn]_utt09,,
speaker15_m_[n|nn]_utt10,,
speaker15_m_[n|nn]_utt11,,
speaker15_m_[n|nn]_utt12,,
speaker15_m_[n|nn]_utt13,,
speaker15_m_[n|nn]_utt14,,
speaker15_m_[n|nn]_utt15,,
speaker15_m_[n|nn]_utt16,,
speaker15_m_[n|nn]_utt17,,
speaker15_m_[n|nn]_utt18,,
speaker15_m_[n|nn]_utt19,,
speaker15_m_[n|nn]_utt20,,
speaker15_m_[n|nn]_utt21,,
speaker15_m_[n|nn]_utt22,,
speaker15_m_[n|nn]_utt23,,
speaker15_m_[n|nn]_utt24,,
speaker15_m_[n|nn]_utt25,,
speaker15_m_[n|nn]_utt26,,
speaker15_m_[n|nn]_utt27,,
speaker15_m_[n|nn]_utt28,,
speaker15_m_[n|nn]_utt29,,
speaker15_m_[n|nn]_utt30,,
speaker16_m_nn_utt01,sugeng enjing mugi dina iki lancar kabeh,iPhone XR
speaker16_m_nn_utt02,monggo pinarak dhisik aja sungkan-sungkan,iPhone XR
speaker16_m_nn_utt03,nuwun sewu aku njaluk tulung sakedhap,iPhone XR
speaker16_m_nn_utt04,kowe wis sarapan durung esuk iki?,iPhone XR
speaker16_m_nn_utt05,aku arep menyang kantor dhisik yo,iPhone XR
speaker16_m_nn_utt06,yen kowe butuh apa-apa ngomong wae,iPhone XR
speaker16_m_nn_utt07,monggo lungguh kene ben luwih nyaman,iPhone XR
speaker16_m_nn_utt08,aku arep resik-resik omah sekedhap,iPhone XR
speaker16_m_nn_utt09,kowe kepiye kabare dina iki?,iPhone XR
speaker16_m_nn_utt10,aku arep menyang pasar tuku pelem,iPhone XR
speaker16_m_nn_utt11,nuwun sewu aku mlebu dhisik yo,iPhone XR
speaker16_m_nn_utt12,mugi urusanmu dina iki lancar kabeh,iPhone XR
speaker16_m_nn_utt13,monggo dijajal sek batike yen kurang pas bisa diganti ukurane,iPhone XR
speaker16_m_nn_utt14,aku arep nggarap laporan kanggo mengko beng,iPhone XR
speaker16_m_nn_utt15,aku matur nuwun sanget kanggo pitulunganmu,iPhone XR
speaker16_m_nn_utt16,kowe arep menyang ngendi sakwise mulih sekolah,iPhone XR
speaker16_m_nn_utt17,jajal dicek dhisik sapa ngerti ana sing salah,iPhone XR
speaker16_m_nn_utt18,mugo-mugo tansah diparingi sehat yo le,iPhone XR
speaker16_m_nn_utt19,sugeng enjing kowe wes sarapan durung,iPhone XR
speaker16_m_nn_utt20,tulung bantu aku njupuk buku kui,iPhone XR
speaker16_m_nn_utt21,aku lagi nyiapke mangan awan ing pawon,iPhone XR
speaker16_m_nn_utt22,iso kirimke file kuwi saiki?,iPhone XR
speaker16_m_nn_utt23,ngapura aku rada telat,iPhone XR
speaker16_m_nn_utt24,tulung pateni lampune sak durung metu kamar,iPhone XR
speaker16_m_nn_utt25,aku arep lungo blanja sek,iPhone XR
speaker16_m_nn_utt26,koe wes ngrampungke tugasmu?,iPhone XR
speaker16_m_nn_utt27,ayo leren sek sakdurunge kerjo,iPhone XR
speaker16_m_nn_utt28,akhir akhir iku koe ngapain wae,iPhone XR
speaker16_m_nn_utt29,koe karo deweke apik apik wae to?,iPhone XR
speaker16_m_nn_utt30,aku uwes usaha sak maksimal mungkin,iPhone XR
speaker17_m_[n|nn]_utt01,,
speaker17_m_[n|nn]_utt02,,
speaker17_m_[n|nn]_utt03,,
speaker17_m_[n|nn]_utt04,,
speaker17_m_[n|nn]_utt05,,
speaker17_m_[n|nn]_utt06,,
speaker17_m_[n|nn]_utt07,,
speaker17_m_[n|nn]_utt08,,
speaker17_m_[n|nn]_utt09,,
speaker17_m_[n|nn]_utt10,,
speaker17_m_[n|nn]_utt11,,
speaker17_m_[n|nn]_utt12,,
speaker17_m_[n|nn]_utt13,,
speaker17_m_[n|nn]_utt14,,
speaker17_m_[n|nn]_utt15,,
speaker17_m_[n|nn]_utt16,,
speaker17_m_[n|nn]_utt17,,
speaker17_m_[n|nn]_utt18,,
speaker17_m_[n|nn]_utt19,,
speaker17_m_[n|nn]_utt20,,
speaker17_m_[n|nn]_utt21,,
speaker17_m_[n|nn]_utt22,,
speaker17_m_[n|nn]_utt23,,
speaker17_m_[n|nn]_utt24,,
speaker17_m_[n|nn]_utt25,,
speaker17_m_[n|nn]_utt26,,
speaker17_m_[n|nn]_utt27,,
speaker17_m_[n|nn]_utt28,,
speaker17_m_[n|nn]_utt29,,
speaker17_m_[n|nn]_utt30,,
speaker18_f_[n|nn]_utt01,,
speaker18_f_[n|nn]_utt02,,
speaker18_f_[n|nn]_utt03,,
speaker18_f_[n|nn]_utt04,,
speaker18_f_[n|nn]_utt05,,
speaker18_f_[n|nn]_utt06,,
speaker18_f_[n|nn]_utt07,,
speaker18_f_[n|nn]_utt08,,
speaker18_f_[n|nn]_utt09,,
speaker18_f_[n|nn]_utt10,,
speaker18_f_[n|nn]_utt11,,
speaker18_f_[n|nn]_utt12,,
speaker18_f_[n|nn]_utt13,,
speaker18_f_[n|nn]_utt14,,
speaker18_f_[n|nn]_utt15,,
speaker18_f_[n|nn]_utt16,,
speaker18_f_[n|nn]_utt17,,
speaker18_f_[n|nn]_utt18,,
speaker18_f_[n|nn]_utt19,,
speaker18_f_[n|nn]_utt20,,
speaker18_f_[n|nn]_utt21,,
speaker18_f_[n|nn]_utt22,,
speaker18_f_[n|nn]_utt23,,
speaker18_f_[n|nn]_utt24,,
speaker18_f_[n|nn]_utt25,,
speaker18_f_[n|nn]_utt26,,
speaker18_f_[n|nn]_utt27,,
speaker18_f_[n|nn]_utt28,,
speaker18_f_[n|nn]_utt29,,
speaker18_f_[n|nn]_utt30,,
speaker19_f_[n|nn]_utt01,,
speaker19_f_[n|nn]_utt02,,
speaker19_f_[n|nn]_utt03,,
speaker19_f_[n|nn]_utt04,,
speaker19_f_[n|nn]_utt05,,
speaker19_f_[n|nn]_utt06,,
speaker19_f_[n|nn]_utt07,,
speaker19_f_[n|nn]_utt08,,
speaker19_f_[n|nn]_utt09,,
speaker19_f_[n|nn]_utt10,,
speaker19_f_[n|nn]_utt11,,
speaker19_f_[n|nn]_utt12,,
speaker19_f_[n|nn]_utt13,,
speaker19_f_[n|nn]_utt14,,
speaker19_f_[n|nn]_utt15,,
speaker19_f_[n|nn]_utt16,,
speaker19_f_[n|nn]_utt17,,
speaker19_f_[n|nn]_utt18,,
speaker19_f_[n|nn]_utt19,,
speaker19_f_[n|nn]_utt20,,
speaker19_f_[n|nn]_utt21,,
speaker19_f_[n|nn]_utt22,,
speaker19_f_[n|nn]_utt23,,
speaker19_f_[n|nn]_utt24,,
speaker19_f_[n|nn]_utt25,,
speaker19_f_[n|nn]_utt26,,
speaker19_f_[n|nn]_utt27,,
speaker19_f_[n|nn]_utt28,,
speaker19_f_[n|nn]_utt29,,
speaker19_f_[n|nn]_utt30,,
speaker20_f_n_utt01,aku arep ngombe banyu anget ben tenggorokanku kroso luwih enak,Iphone 13
speaker20_f_n_utt02,aku arep tuku roti menyang warung mburi omah,Iphone 13
speaker20_f_n_utt03,kowe ojo lali nggawa payung amarga awane katon peteng,Iphone 13
speaker20_f_n_utt04,dina iki aku kudu resik-resik jeding,Iphone 13
speaker20_f_n_utt05,mbakyuku lagi nyetrika klambi,Iphone 13
speaker20_f_n_utt06,"kowe kok katon kesel, apa lagi lara?",Iphone 13
speaker20_f_n_utt07,adhiku seneng banget yen diajak mlaku-mlaku sore,Iphone 13
speaker20_f_n_utt08,sepur sing tak enteni durung teka-teka,Iphone 13
speaker20_f_n_utt09,"kowe takon wae yen ora ngerti pelajarane, yud",Iphone 13
speaker20_f_n_utt10,dina Minggu aku arep dolan menyang omahe koncoku,Iphone 13
speaker20_f_n_utt11,aku lagi ngumbah klambi amarga ibuku isik repot,Iphone 13
speaker20_f_n_utt12,bocah kuwi nangis amarga dolanane rusak,Iphone 13
speaker20_f_n_utt13,wingi bengi aku turu telat amarga nggarap tugas,Iphone 13
speaker20_f_n_utt14,kowe iso melu rapat apa ora sesuk esuk?,Iphone 13
speaker20_f_n_utt15,sandalku keri ana ing omahe paklikku,Iphone 13
speaker20_f_n_utt16,"kowe ojo rame-rame, simbah lagi turu",Iphone 13
speaker20_f_n_utt17,endasku dadi mumet amarga panas banget,Iphone 13
speaker20_f_n_utt18,dina iki aku oleh hadiah saka guruku,Iphone 13
speaker20_f_n_utt19,kowe apa wis rampung nggarap PR bahasa Indonesia?,Iphone 13
speaker20_f_n_utt20,aku krungu swara banter banget nganti kaget,Iphone 13
speaker20_f_n_utt21,bocah-bocah kuwi padha dolanan saya rame banget,Iphone 13
speaker20_f_n_utt22,aku kepengin mangan es krim amarga cuacane panas banget,Iphone 13
speaker20_f_n_utt23,aku arep olahraga sakwise jam pelajaran rampung,Iphone 13
speaker20_f_n_utt24,simbahku seneng nandur kembang lan woh-wohan,Iphone 13
speaker20_f_n_utt25,"yen arep lunga, ojo lali lampune dipateni yo!",Iphone 13
speaker20_f_n_utt26,dina iki aku ketemu kucing lucu ing pinggir dalan,Iphone 13
speaker20_f_n_utt27,aku kesusu mangkat amarga wektune wis mepet banget,Iphone 13
speaker20_f_n_utt28,jojo takon jadwal dino Senin amarga wingi bocahe ora mlebu kelas,Iphone 13
speaker20_f_n_utt29,aku kepengin sinau masak jajanan pasar,Iphone 13
speaker20_f_n_utt30,kowe ojo lali mbayar listrik sadurunge tanggal sepuluh saben wulan,Iphone 13
speaker21_m_[n|nn]_utt01,sugeng enjang kulo badhe bidhal kuliah,Iphone 15 plus
speaker21_m_[n|nn]_utt02,kados pundi kabaripun panjenengan dinten menika,Iphone 15 plus
speaker21_m_[n|nn]_utt03,monggo pinarak wonten kursi ingkang kasedhiya,Iphone 15 plus
speaker21_m_[n|nn]_utt04,kulo badhe nyuwun pirsa babagan tugas menika,Iphone 15 plus
speaker21_m_[n|nn]_utt05,nuwun sewu kulo badhe ndherek langkung,Iphone 15 plus
speaker21_m_[n|nn]_utt06,matur nuwun sanget atas bantosipun panjenengan,Iphone 15 plus
speaker21_m_[n|nn]_utt07,sakmenika sampun jam pitu langkung gangsal menit,Iphone 15 plus
speaker21_m_[n|nn]_utt08,kulo badhe tumbas sekul pecel kalih bungkus,Iphone 15 plus
speaker21_m_[n|nn]_utt09,menapa panjenengan sampun dhahar siang,Iphone 15 plus
speaker21_m_[n|nn]_utt10,griyanipun pakdhe wonten sachedakipun pasar ageng,Iphone 15 plus
speaker21_m_[n|nn]_utt11,kulo saweg sinau babagan pemrosesan swanten,Iphone 15 plus
speaker21_m_[n|nn]_utt12,mangke sonten kulo badhe sowan dhateng griya,Iphone 15 plus
speaker21_m_[n|nn]_utt13,monggo dipun unjuk teh angetipun mumpung taksih benter,Iphone 15 plus
speaker21_m_[n|nn]_utt14,dinten menika hawanipun raos benter sanget,Iphone 15 plus
speaker21_m_[n|nn]_utt15,kulo badhe wangsul rumiyin amargi sampun dalu,Iphone 15 plus
speaker21_m_[n|nn]_utt16,regi buku menika satus seket ewu rupiah,Iphone 15 plus
speaker21_m_[n|nn]_utt17,bapak saweg tindak dhateng kantor nitih mobil,Iphone 15 plus
speaker21_m_[n|nn]_utt18,ibu nembe mawon kondur saking peken,Iphone 15 plus
speaker21_m_[n|nn]_utt19,kulo badhe ngampil buku wonten perpustakaan kampus,Iphone 15 plus
speaker21_m_[n|nn]_utt20,nyuwun tulung kulo dipun paringi toya pethak,Iphone 15 plus
speaker21_m_[n|nn]_utt21,tugas besar menika kedah dipun kempalaken minggu ngajeng,Iphone 15 plus
speaker21_m_[n|nn]_utt22,kulo mboten saged ndherek rapat amargi sakit,Iphone 15 plus
speaker21_m_[n|nn]_utt23,saking mriki lurus kemawon lajeng belok tengen,Iphone 15 plus
speaker21_m_[n|nn]_utt24,para mahasiswa saweg ngerjakaken ujian semester,Iphone 15 plus
speaker21_m_[n|nn]_utt25,kulo remen sanget ningali wayang kulit,Iphone 15 plus
speaker21_m_[n|nn]_utt26,wulan ngajeng kulo badhe kesah dhateng surabaya,Iphone 15 plus
speaker21_m_[n|nn]_utt27,monggo kito sesarengan njagi karesikan lingkungan,Iphone 15 plus
speaker21_m_[n|nn]_utt28,adik kulo saweg sinau nulis aksara jawa,Iphone 15 plus
speaker21_m_[n|nn]_utt29,menawi wonten lepat kulo nyuwun pangapunten,Iphone 15 plus
speaker21_m_[n|nn]_utt30,sampun supe mbenjing wonten acara kempalan warga,Iphone 15 plus
speaker22_m_n_utt01,"Esuk-esuk wis tangi, nanging pikiranku isih turu",Iphone 15 Pro Max
speaker22_m_n_utt02,"Aku niat rajin, emane kasurku luwih enak",Iphone 15 Pro Max
speaker22_m_n_utt03,"Mari mangan, atiku langsung adem ayem",Iphone 15 Pro Max
speaker22_m_n_utt04,"Aku ora males, mek lagi nyimpen tenaga sing ora metu-metu",Iphone 15 Pro Max
speaker22_m_n_utt05,"Awale kape ngaso sedhela, jebule sedhelane nganti sore",Iphone 15 Pro Max
speaker22_m_n_utt06,"Kadang aku mikir, nanging pikiranku malah mlenceng",Iphone 15 Pro Max
speaker22_m_n_utt07,"Nglakoni apa wae, sing penting isih iso guyon",Iphone 15 Pro Max
speaker22_m_n_utt08,"Aku ora sengaja kleru, tanganku wae sing kepengin cepet",Iphone 15 Pro Max
speaker22_m_n_utt09,"Nyapu omah wae kesel, opo maneh nyapu pikiran",Iphone 15 Pro Max
speaker22_m_n_utt10,"Aku ora ngantuk, mung mripatku wis protes",Iphone 15 Pro Max
speaker22_m_n_utt11,"Mbukak lawang pelan-pelan, jebul angine sing medeni",Iphone 15 Pro Max
speaker22_m_n_utt12,"Aku lagi semangat, nanging otakku ora setuju",Iphone 15 Pro Max
speaker22_m_n_utt13,"Mangan sak piring rasane kurang, sak rong piring malah kakehan",Iphone 15 Pro Max
speaker22_m_n_utt14,"Arep hemat, kok yo mek e akeh panganan",Iphone 15 Pro Max
speaker22_m_n_utt15,"Melu mikir, nanging sing metu malah lelucon",Iphone 15 Pro Max
speaker22_m_n_utt16,"Aku ora isin, mung ora siap ditakoni akeh-akeh",Iphone 15 Pro Max
speaker22_m_n_utt17,"Arepe turu siang sak menit, tangine bisa sak jam",Iphone 15 Pro Max
speaker22_m_n_utt18,"Wadul sek sethithik, rasane luwih lega",Iphone 15 Pro Max
speaker22_m_n_utt19,"Ngombe wedang jahe ben anget, malah kringet sak omah",Iphone 15 Pro Max
speaker22_m_n_utt20,"Arep serius, nanging atiku goyah delok panganan",Iphone 15 Pro Max
speaker22_m_n_utt21,"Aku ora telat, mung wektu sing kesusu",Iphone 15 Pro Max
speaker22_m_n_utt22,"Aja aku seng disalahno, kadang pikiranku seneng dolan dewe",Iphone 15 Pro Max
speaker22_m_n_utt23,"Ngrasakke angin sore iku nikmat, nanging godhonge mlebu rai",Iphone 15 Pro Max
speaker22_m_n_utt24,"Aku ora eman tenaga, mung ora pengin mubadzir",Iphone 15 Pro Max
speaker22_m_n_utt25,"Arep mlaku-mlaku, mung sikile koyo ora kompak",Iphone 15 Pro Max
speaker22_m_n_utt26,Kadang meneng wae wis lucu rasane,Iphone 15 Pro Max
speaker22_m_n_utt27,Sejatine aku bijaksana nanging mung ing impen,Iphone 15 Pro Max
speaker22_m_n_utt28,"Tak pikir gampang, jebul gampang mung ing bayangane",Iphone 15 Pro Max
speaker22_m_n_utt29,"Ngresiki meja, e malah nambah ",Iphone 15 Pro Max
speaker22_m_n_utt30,"Aku ora ruwet, mung akeh pikiran sing rebutan metu",Iphone 15 Pro Max
speaker23_f_[n|nn]_utt01,,
speaker23_f_[n|nn]_utt02,,
speaker23_f_[n|nn]_utt03,,
speaker23_f_[n|nn]_utt04,,
speaker23_f_[n|nn]_utt05,,
speaker23_f_[n|nn]_utt06,,
speaker23_f_[n|nn]_utt07,,
speaker23_f_[n|nn]_utt08,,
speaker23_f_[n|nn]_utt09,,
speaker23_f_[n|nn]_utt10,,
speaker23_f_[n|nn]_utt11,,
speaker23_f_[n|nn]_utt12,,
speaker23_f_[n|nn]_utt13,,
speaker23_f_[n|nn]_utt14,,
speaker23_f_[n|nn]_utt15,,
speaker23_f_[n|nn]_utt16,,
speaker23_f_[n|nn]_utt17,,
speaker23_f_[n|nn]_utt18,,
speaker23_f_[n|nn]_utt19,,
speaker23_f_[n|nn]_utt20,,
speaker23_f_[n|nn]_utt21,,
speaker23_f_[n|nn]_utt22,,
speaker23_f_[n|nn]_utt23,,
speaker23_f_[n|nn]_utt24,,
speaker23_f_[n|nn]_utt25,,
speaker23_f_[n|nn]_utt26,,
speaker23_f_[n|nn]_utt27,,
speaker23_f_[n|nn]_utt28,,
speaker23_f_[n|nn]_utt29,,
speaker23_f_[n|nn]_utt30,,
speaker24_m_nn_utt01,Iki duweke sopo?,
speaker24_m_nn_utt02,Aku ora sengojo,
speaker24_m_nn_utt03,Kowe ngerti maksude,
speaker24_m_nn_utt04,Rambute dowo banget saiki,
speaker24_m_nn_utt05,Aku lagi golek kunci motor.,
speaker24_m_nn_utt06,Kowe kok suwe banget?,
speaker24_m_nn_utt07,Dino iki prei opo ora,
speaker24_m_nn_utt08,Isuk-isuk wis udan,
speaker24_m_nn_utt09,Kopine kurang legi,
speaker24_m_nn_utt10,Ora usah dipikir nemen-nemen,
speaker24_m_nn_utt11,Jare sopo? Aku ora krungu,
speaker24_m_nn_utt12,Lampune dipateni disik,
speaker24_m_nn_utt13,Kowe iso ngajari aku ora?,
speaker24_m_nn_utt14,"Aku gurung adus, isin",
speaker24_m_nn_utt15,Mengko bengi ono acara opo,
speaker24_m_nn_utt16,Aku mending nunggu kene wae,
speaker24_m_nn_utt17,Baterene meh entek iki,
speaker24_m_nn_utt18,Ojo lali dikunci lawange,
speaker24_m_nn_utt19,Bojomu kerjo nang endi?,
speaker24_m_nn_utt20,Anakku lagi seneng dolanan,
speaker24_m_nn_utt21,Aku lali jenenge,
speaker24_m_nn_utt22,"Timbangane nganggur, ayo dolan",
speaker24_m_nn_utt23,"Aku bosen, ora ono gawean",
speaker24_m_nn_utt24,Iki janganne kurang asin sitik,
speaker24_m_nn_utt25,"Mengko awan sido rapat, kan",
speaker24_m_nn_utt26,"Aku meh titip, kowe arep metu?",
speaker24_m_nn_utt27,Sikile keno opo kuwi?,
speaker24_m_nn_utt28,"Ojo rame-rame, adhiku lagi turu",
speaker24_m_nn_utt29,Kowe katon kesel banget.,
speaker24_m_nn_utt30,"Aku takon, iki regane piro?",
speaker25_f_nn_utt01,Piye kabare?,
speaker25_f_nn_utt02,Aku arep menyang pasar.,
speaker25_f_nn_utt03,Wis mangan durung?,
speaker25_f_nn_utt04,Ayo mlaku-mlaku ning alun-alun.,
speaker25_f_nn_utt05,Awakmu arep tindak ngendi?,
speaker25_f_nn_utt06,Aku lagi sinau basa Jawa.,
speaker25_f_nn_utt07,"Sugeng enjing, piye turu sampeyan?",
speaker25_f_nn_utt08,"Mboten napa-napa, sami-sami. ",
speaker25_f_nn_utt09,Aku wis rampung gawe tugasku.,
speaker25_f_nn_utt10,Sore iki udan deres banget.,
speaker25_f_nn_utt11,Kowe wis ketemu karo dheweke durung?,
speaker25_f_nn_utt12,Aku seneng mangan soto ayam.,
speaker25_f_nn_utt13,Sesuk aku arep mulih kampung.,
speaker25_f_nn_utt14,"Ayo ndang mlebu, wis awan.",
speaker25_f_nn_utt15,Aku butuh bantuan kanggo ngangkat barang iki.,
speaker25_f_nn_utt16,Sampeyan ngerti ora alamate warung makan kuwi?,
speaker25_f_nn_utt17,"Mangga pinarak, monggo lenggah rumiyin.",
speaker25_f_nn_utt18,Aku lagi nggoleki kunci motorku.,
speaker25_f_nn_utt19,Dheweke kerja ning kantor pos.,
speaker25_f_nn_utt20,Aku ora duwe dhuwit saiki.,
speaker25_f_nn_utt21,"Kowe kok telat tenan, ana apa?",
speaker25_f_nn_utt22,Aku arep tuku klambi anyar ning pasar.,
speaker25_f_nn_utt23,Adhi lagi sinau matematika kanggo ujian sesuk.,
speaker25_f_nn_utt24,Aja lali nutup lawang yen metu.,
speaker25_f_nn_utt25,Ibu lagi masak ning pawon saiki.,
speaker25_f_nn_utt26,Aku krasa kesel banget sawise kerja seharian.,
speaker25_f_nn_utt27,Ayo padha mangan bareng ning omahku.,
speaker25_f_nn_utt28,Sampeyan bisa tulung jelasake cara nggunakake iki?,
speaker25_f_nn_utt29,Wingi aku ketemu kancaku lawas ning dalan.,
speaker25_f_nn_utt30,Aku pengin sinau masak masakan Jawa tradisional.,
speaker26_f_nn_utt01,aku arep maca buku anyar ing perpustakaan,Iphone 14
speaker26_f_nn_utt02,adhiku nyuwun tulung didadekake tugas sekolah,Iphone 14
speaker26_f_nn_utt03,ibu lagi nyiapake panganan kanggo tamu sore iki,Iphone 14
speaker26_f_nn_utt04,bapak arep budhal kerja luwih awal dina iki,Iphone 14
speaker26_f_nn_utt05,kowe paring warta yen wis tekan omah ya,Iphone 14
speaker26_f_nn_utt06,aku lagi ngenteni bis ing halte ngarep pasar,Iphone 14
speaker26_f_nn_utt07,mbakyuku lagi ngresiki pekarangan mburi omah,Iphone 14
speaker26_f_nn_utt08,simbah nyuwun dijupukke banyu anget saka pawon,Iphone 14
speaker26_f_nn_utt09,aku kudu tuku sabun lan sampo ing warung,Iphone 14
speaker26_f_nn_utt10,kowe bisa nulungi aku mindhahke kursi iki ora,Iphone 14
speaker26_f_nn_utt11,aku kepengin istirahat amarga awakku rada kesel,Iphone 14
speaker26_f_nn_utt12,bapak tuku woh pirang pirang ing pasar tradisional,Iphone 14
speaker26_f_nn_utt13,adhiku lagi nonton film animasi neng ruang tamu,Iphone 14
speaker26_f_nn_utt14,aku ora bisa melu amarga wis ana jadwal liyane,Iphone 14
speaker26_f_nn_utt15,kowe ojo lali nggawa buku cathetan dina iki,Iphone 14
speaker26_f_nn_utt16,aku arep numpak sepur esuk banget kanggo menyang kantor,Iphone 14
speaker26_f_nn_utt17,ibu maringi dhawuh supaya aku reresik meja makan,Iphone 14
speaker26_f_nn_utt18,aku nemokake bolpoinku ing tas sekolah lawas,Iphone 14
speaker26_f_nn_utt19,kowe isa ngenteni aku sak menit bener yo,Iphone 14
speaker26_f_nn_utt20,bapak lagi ngobrol karo tangga ing teras omah,Iphone 14
speaker26_f_nn_utt21,simbah lagi maca wirid neng kamar mburi,Iphone 14
speaker26_f_nn_utt22,aku arep ngumbah piring sakwise rampung pangan,Iphone 14
speaker26_f_nn_utt23,mbakyuku lagi nglatih tarian kanggo acara desa,Iphone 14
speaker26_f_nn_utt24,aku arep tuku obat batuk neng apotek ngarep pasar,Iphone 14
speaker26_f_nn_utt25,kowe bisa mbantu nyiapake kursi kanggo rapat ora,Iphone 14
speaker26_f_nn_utt26,adhiku lagi nyoba sepatu anyar sing dituku ibu,Iphone 14
speaker26_f_nn_utt27,aku krungu swara motor mlebu pekarangan,Iphone 14
speaker26_f_nn_utt28,bapak nyuwun tulung didadekake teh anget,Iphone 14
speaker26_f_nn_utt29,aku lagi nggarap laporan kanggo dikumpulake sesuk,Iphone 14
speaker26_f_nn_utt30,kowe ayo padha lunga saiki sadurunge sore banget,Iphone 14
speaker27_m_[n|nn]_utt01,,
speaker27_m_[n|nn]_utt02,,
speaker27_m_[n|nn]_utt03,,
speaker27_m_[n|nn]_utt04,,
speaker27_m_[n|nn]_utt05,,
speaker27_m_[n|nn]_utt06,,
speaker27_m_[n|nn]_utt07,,
speaker27_m_[n|nn]_utt08,,
speaker27_m_[n|nn]_utt09,,
speaker27_m_[n|nn]_utt10,,
speaker27_m_[n|nn]_utt11,,
speaker27_m_[n|nn]_utt12,,
speaker27_m_[n|nn]_utt13,,
speaker27_m_[n|nn]_utt14,,
speaker27_m_[n|nn]_utt15,,
speaker27_m_[n|nn]_utt16,,
speaker27_m_[n|nn]_utt17,,
speaker27_m_[n|nn]_utt18,,
speaker27_m_[n|nn]_utt19,,
speaker27_m_[n|nn]_utt20,,
speaker27_m_[n|nn]_utt21,,
speaker27_m_[n|nn]_utt22,,
speaker27_m_[n|nn]_utt23,,
speaker27_m_[n|nn]_utt24,,
speaker27_m_[n|nn]_utt25,,
speaker27_m_[n|nn]_utt26,,
speaker27_m_[n|nn]_utt27,,
speaker27_m_[n|nn]_utt28,,
speaker27_m_[n|nn]_utt29,,
speaker27_m_[n|nn]_utt30,,
speaker28_m_[n|nn]_utt01,,
speaker28_m_[n|nn]_utt02,,
speaker28_m_[n|nn]_utt03,,
speaker28_m_[n|nn]_utt04,,
speaker28_m_[n|nn]_utt05,,
speaker28_m_[n|nn]_utt06,,
speaker28_m_[n|nn]_utt07,,
speaker28_m_[n|nn]_utt08,,
speaker28_m_[n|nn]_utt09,,
speaker28_m_[n|nn]_utt10,,
speaker28_m_[n|nn]_utt11,,
speaker28_m_[n|nn]_utt12,,
speaker28_m_[n|nn]_utt13,,
speaker28_m_[n|nn]_utt14,,
speaker28_m_[n|nn]_utt15,,
speaker28_m_[n|nn]_utt16,,
speaker28_m_[n|nn]_utt17,,
speaker28_m_[n|nn]_utt18,,
speaker28_m_[n|nn]_utt19,,
speaker28_m_[n|nn]_utt20,,
speaker28_m_[n|nn]_utt21,,
speaker28_m_[n|nn]_utt22,,
speaker28_m_[n|nn]_utt23,,
speaker28_m_[n|nn]_utt24,,
speaker28_m_[n|nn]_utt25,,
speaker28_m_[n|nn]_utt26,,
speaker28_m_[n|nn]_utt27,,
speaker28_m_[n|nn]_utt28,,
speaker28_m_[n|nn]_utt29,,
speaker28_m_[n|nn]_utt30,,
speaker29_f_[n|nn]_utt01,,
speaker29_f_[n|nn]_utt02,,
speaker29_f_[n|nn]_utt03,,
speaker29_f_[n|nn]_utt04,,
